price,title,location,lat,lng,Referencia,Clasificación,Baños,Conservación,Superficie construida,Habitaciones
176000.0,Apartamento en venta en Abantos-Monte Carmelo-El Rosario,Abantos-Monte Carmelo-El Rosario (San Lorenzo de El Escorial),40.5934447,-4.1453858, 4994318-VF-812,  En trámite, 1, A estrenar, 63 m², 1
116500.0,"Apartamento en venta en Calle de Ercilla, 20, cerca de Calle del Labrador","Calle de Ercilla, 20, cerca de Calle del Labrador. Acacias, Arganzuela (Madrid Capital)",40.4020793,-3.7021512, EP805-1309,  En trámite, 1,, 25 m²,
169000.0,Apartamento en venta en Ajalvir,Ajalvir,40.5344572,-3.479415, IFC76153-1690TN,  En trámite, 1, En buen estado, 70 m², 1
174000.0,Apartamento en venta en Alcorcón,Casco Antiguo (Alcorcón),40.3443579,-3.825283, SA1398-4340/6592,  No indicado, 1,, 60 m², 1
130000.0,Apartamento en venta en Alcorcón,Casco Antiguo (Alcorcón),40.3470962,-3.8278256, SA2135-04930/7619,  No indicado, 1,, 60 m², 2
88000.0,"Apartamento en venta en Calle de Abastos, cerca de Calle de San Pascual","Calle de Abastos, cerca de Calle de San Pascual. Centro (Aranjuez)",40.0318305,-3.5997344, 518232-000277,  En trámite, 1, En buen estado, 37 m², 1
115000.0,"Apartamento en venta en Calle del Foso, 102, cerca de Calle de San Pascual","Calle del Foso, 102, cerca de Calle de San Pascual. Centro (Aranjuez)",40.0311690841363,-3.59847136512598, 4514620-APARTAMENTO AMUEBLADO CON TRASTERO,  Disponible, 1, En buen estado, 40 m², 1
187000.0,"Apartamento en venta en Calle de Embajadores, 186, cerca de Paseo de las Delicias","Calle de Embajadores, 186, cerca de Paseo de las Delicias. Delicias, Arganzuela (Madrid Capital)",40.39317,-3.6942677, 20365713,  En trámite, 1, En buen estado, 53 m², 1
2500000.0,Apartamento en venta en Trafalgar,"Bellas Vistas, Tetuán (Madrid Capital)",40.4504845,-3.6808962, GM14-156646,  En trámite, 4, A reformar, 302 m², 4
310000.0,"Apartamento en venta en Avenida del Doctor Federico Rubio y Galí, cerca de Calle de María Pedraza","Avenida del Doctor Federico Rubio y Galí, cerca de Calle de María Pedraza. Bellas Vistas, Tetuán (Madrid Capital)",40.452446765,-3.711678369, SA179-IM/VENTAFRYGALI0723,  En trámite, 1, A reformar, 57 m², 1
218000.0,"Apartamento en venta en Paseo de la Dirección, cerca de Calle de Santa Eulalia","Paseo de la Dirección, cerca de Calle de Santa Eulalia. Berruguete, Tetuán (Madrid Capital)",40.4602162,-3.7061395, SA820-101196/2372,  Disponible, 1,, 55 m², 1
84000.0,Apartamento en venta en Calle del Doctor Vallejo Nájera,Calle del Doctor Vallejo Nájera. Brezo-Guardia Civil (Valdemoro),40.1940661,-3.6772201, SA1714-1451,  En trámite, 1, A estrenar, 37 m²,
47000.0,Apartamento en venta en Calle Tejera,Calle Tejera. Carabaña,40.25673,-3.2403532, 992880-AGUEDA,  En trámite, 1,, 40 m², 1
193500.0,"Apartamento en venta en Piso de 62M2 Zona Calle General Ricardos, Metro Urgel","San Isidro, Carabanchel (Madrid Capital)",40.3925051,-3.7285069, FE101-276125,  En trámite, 1,, 62 m², 3
173999.0,"Apartamento en venta en Calle de Eugenia de Montijo, cerca de Calle del Salvador del Mundo","Calle de Eugenia de Montijo, cerca de Calle del Salvador del Mundo. Vista Alegre, Carabanchel (Madrid Capital)",40.37914,-3.74712, EP319-VYP.220M,  En trámite, 1,, 74 m², 2
89000.0,Apartamento en venta en Centro,Casco Antiguo Norte (Ciempozuelos),40.1598756,-3.6200192, SA606-5-ORI-DE-01-1301/1852,  No indicado, 1,, 69 m², 1
96000.0,Apartamento en venta en Carretera de Villaverde a Vallecas,"Carretera de Villaverde a Vallecas. Casco Histórico de Vallecas, Villa de Vallecas (Madrid Capital)",40.375920536,-3.631844479, IF6199-DW-COR-000-641,  En trámite, 1,, 50 m², 1
132000.0,Apartamento en venta en Congosto,"Casco Histórico de Vallecas, Villa de Vallecas (Madrid Capital)",40.3734321,-3.6209347, SA323-FHOG-1732,  Disponible, 1, En buen estado, 33 m², 1
69000.0,Apartamento en venta en Vallecas,"Casco Histórico de Vallecas, Villa de Vallecas (Madrid Capital)",40.3704076,-3.644791, SA323-FHOG-1771,  Disponible, 1, En buen estado, 33 m², 1
69000.0,Apartamento en venta en Vallecas,"Casco Histórico de Vallecas, Villa de Vallecas (Madrid Capital)",40.376773298,-3.630694644, SA323-FHOG-1770,  Disponible, 1, En buen estado, 33 m², 1
120000.0,Apartamento en venta en Calle de la Revoltosa,"Calle de la Revoltosa. Casco Histórico de Vallecas, Villa de Vallecas (Madrid Capital)",40.3747755,-3.6214991, 4992238-13466226,  En trámite, 1, En buen estado, 40 m², 1
105000.0,Apartamento en venta en Carretera de Villaverde a Vallecas,"Carretera de Villaverde a Vallecas. Casco Histórico de Vallecas, Villa de Vallecas (Madrid Capital)",40.375920536,-3.631844479, IF6199-DW-000-999,  En trámite, 1, En buen estado, 52 m², 1
800000.0,Apartamento en venta en Conde Orgaz-Piovera,"Castilla, Chamartín (Madrid Capital)",40.4672746,-3.6883896, IFC76282-VR40723MC,  En trámite,, En buen estado, 237 m²,
