price,lat,lng,updated,type,paseo,carretera,bulevar,autovia,calle,parque,plaza,avenida,publisher,age,garage,lift,surface,net_surface,garden,rooms,condition,bathrooms
176000.0,40.5934447,-4.1453858,1674860880.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,10.0,yes,yes,63.0,46.0,yes,1.0, A estrenar,1.0
116500.0,40.4020793,-3.7021512,1674947340.0,Apartamento,2,2,2,2,2,2,2,2,inmobiliaria,50.0,no,yes,25.0,,no,,,1.0
169000.0,40.5344572,-3.479415,1673392140.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,70.0,67.0,no,1.0, En buen estado,1.0
174000.0,40.3443579,-3.825283,1672960200.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,60.0,50.0,no,1.0,,1.0
130000.0,40.3470962,-3.8278256,1672614600.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,60.0,54.0,no,2.0,,1.0
88000.0,40.0318305,-3.5997344,1674947340.0,Apartamento,2,2,2,2,2,2,2,2,inmobiliaria,10.0,no,yes,37.0,30.0,no,1.0, En buen estado,1.0
115000.0,40.0311690841363,-3.59847136512598,1672873800.0,Apartamento,2,2,2,2,2,2,2,2,inmobiliaria,10.0,no,yes,40.0,40.0,no,1.0, En buen estado,1.0
187000.0,40.39317,-3.6942677,1672614600.0,Apartamento,2,2,2,2,2,2,2,2,particular,50.0,no,yes,53.0,,no,1.0, En buen estado,1.0
2500000.0,40.4504845,-3.6808962,1673046600.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,302.0,,no,4.0, A reformar,4.0
310000.0,40.452446765,-3.711678369,1673305620.0,Apartamento,2,2,2,2,2,2,2,2,inmobiliaria,,no,yes,57.0,,no,1.0, A reformar,1.0
218000.0,40.4602162,-3.7061395,1674947280.0,Apartamento,2,2,2,2,2,2,2,2,inmobiliaria,,no,yes,55.0,45.0,no,1.0,,1.0
84000.0,40.1940661,-3.6772201,1673651280.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,,no,no,37.0,34.0,no,, A estrenar,1.0
47000.0,40.25673,-3.2403532,1673046600.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,,yes,no,40.0,,no,1.0,,1.0
193500.0,40.3925051,-3.7285069,1672701000.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,62.0,62.0,yes,3.0,,1.0
173999.0,40.37914,-3.74712,1672614600.0,Apartamento,2,2,2,2,2,2,2,2,inmobiliaria,,no,yes,74.0,74.0,no,2.0,,1.0
89000.0,40.1598756,-3.6200192,1672701000.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,69.0,60.0,no,1.0,,1.0
96000.0,40.375920536,-3.631844479,1610752260.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,yes,yes,50.0,,no,1.0,,1.0
132000.0,40.3734321,-3.6209347,1641251100.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,33.0,,no,1.0, En buen estado,1.0
69000.0,40.3704076,-3.644791,1641337620.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,33.0,,yes,1.0, En buen estado,1.0
69000.0,40.376773298,-3.630694644,1641337620.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,33.0,,no,1.0, En buen estado,1.0
120000.0,40.3747755,-3.6214991,1673046600.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,10.0,no,yes,40.0,32.0,no,1.0, En buen estado,1.0
105000.0,40.375920536,-3.631844479,1610752260.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,10.0,yes,yes,52.0,,no,1.0, En buen estado,1.0
800000.0,40.4672746,-3.6883896,1674774540.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,237.0,,no,, En buen estado,
315000.0,40.4700693,-3.6807126,1672960200.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,40.0,,no,1.0, En buen estado,1.0
330000.0,40.471378647,-3.673809951,1672873800.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,132.0,132.0,yes,1.0,,1.0
185000.0,40.4634995,-3.6938103,1672614600.0,Apartamento,2,2,2,2,2,2,2,2,inmobiliaria,50.0,no,yes,51.0,45.0,no,1.0, En buen estado,1.0
185000.0,40.4639467,-3.6933933,1672873800.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,50.0,no,yes,67.0,51.0,yes,1.0, En buen estado,1.0
650000.0,40.4597344,-3.694495,1674947340.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,88.0,,no,2.0,,1.0
300000.0,40.4620436,-3.6948089,1672960200.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,30.0,no,yes,44.0,36.0,no,1.0, Reformado,1.0
270000.0,40.4607576,-3.6907011,1673046600.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,60.0,,no,1.0, A estrenar,1.0
