price,title,province,location,lat,lng,characteristics,agency,updated,numeric_data
141.900 €,Piso en venta en Eroski,La Milagrosa-La Estrella-San Antón (Albacete Capital),38.9894269,-1.8453735,['Superficie construida : 112 m²', 'Superficie útil : 90 m²', 'Habitaciones : 4', 'Baños : 2', 'Planta : 4ª', 'Gastos de comunidad : Entre 40 y 60€', 'Referencia : SA2020-VSOL-1570/5135', 'Tipo suelo : Terrazo', 'Aire acondicionado', 'Calefacción : Gas natural', 'Garaje : 1', 'Trastero', 'Ascensor', 'Balcón', 'Clasificación:  No indicado', 'Pedir más información'],Inmuebles de SOLUZIONES INMOBILIARIAS,1675120200.0,{'timestamp': '169885276445462', 'soft_url': 'piso_la_milagrosa_la_estrella_san_anton02008_38412893382_100500_'}
388.000 €,Piso en venta en Corte Ingles Nuevo,Sepulcro Bolera-Universidad-Hermanos Falcó (Albacete Capital),38.982307,-1.8561075,['Superficie construida : 138 m²', 'Superficie útil : 125 m²', 'Habitaciones : 4', 'Baños : 2', 'Planta : 5ª', 'Gastos de comunidad : Entre 40 y 60€', 'Referencia : SA1767-10733/6519', 'Armarios empotrados : 1', 'Agua', 'Calefacción', 'Comedor', 'Garaje : 1', 'Trastero', 'Puerta blindada', 'Ascensor', 'Terraza', 'Piscina : Comunitaria', 'Orientación : Sur', 'Clasificación:  Disponible', 'Emisiones:   A B C D E F G', 'Pedir más información'],Inmuebles de ESTUDIO MERAKI,1673564640.0,{'timestamp': '1698852771769094', 'soft_url': 'piso_sepulcro_bolera_universidad_hermanos_falco02006_29194851920_100500_'}
120.000 €,Piso en venta en Circunvalacion-Carrefour,Fátima-Franciscanos (Albacete Capital),38.984244,-1.8609373,['Superficie construida : 101 m²', 'Superficie útil : 90 m²', 'Habitaciones : 3', 'Baños : 2', 'Planta : 3ª', 'Gastos de comunidad : Más de 100€', 'Referencia : SA4943-Y223/7548', 'Agua', 'Calefacción : Central', 'Comedor', 'Trastero', 'Ascensor', 'Balcón', 'Orientación : Sur', 'Clasificación:  Disponible', 'Emisiones:   A B C D E F G', 'Pedir más información'],Inmuebles de Inmobiliaria Tejares,1675120200.0,{'timestamp': '1698852777337198', 'soft_url': 'piso_fatima_franciscanos02003_38374230686_100500_'}
135.000 €,Piso en venta en Arquitecto Vandelvira,Fátima-Franciscanos (Albacete Capital),38.988146,-1.8656731,['Superficie construida : 120 m²', 'Superficie útil : 100 m²', 'Habitaciones : 4', 'Baños : 2', 'Planta : 1ª', 'Conservación : En buen estado', 'Referencia : NI601-16573', 'Tipo suelo : Gres', 'Carpintería exterior : Aluminio', 'Agua : Agua individual', 'Calefacción : Individual - gas', 'Cocina : Independiente', 'Comedor', 'Ascensor', 'Balcón', 'Clasificación:  En trámite', 'Pedir más información'],Inmuebles de GRAIN GRUPO INMOBILIARIO GARCIA VELASCO,1674774600.0,{'timestamp': '1698852782773939', 'soft_url': 'piso_fatima_franciscanos02003_38391042781_106000_'}
490.000 €,Chalet en venta en Albacete,Vereda-Santa Teresa-Pedro Lamata-San Pedro Mortero (Albacete Capital),38.9889414,-1.8793042,['Superficie construida : 350 m²', 'Superficie útil : 300 m²', 'Superficie solar : 1.000 m²', 'Habitaciones : 5', 'Baños : 2', 'Referencia : SA3801-J010/8412', 'Amueblado', 'Agua', 'Aire acondicionado', 'Calefacción', 'Chimenea', 'Garaje : 1', 'Trastero', 'Terraza', 'Piscina : Propia', 'Urbanizado', 'Clasificación:  No indicado', 'Pedir más información'],Inmuebles de INMOHOUSE INTERMEDIACION INMOBILIARIA,1673478300.0,{'timestamp': '1698852788736791', 'soft_url': 'chalet_vereda_santa_teresa_pedro_lamata_san_pedro_mortero_28402518359_100500_'}
185.000 €,Piso en venta en Calle Martínez Ibáñez,Calle Martínez Ibáñez. Santa Cruz-San Antonio Abad-Industria, Cañicas (Albacete Capital),39.0042416,-1.8681636,['Superficie construida : 88 m²', 'Superficie útil : 80 m²', 'Habitaciones : 2', 'Baños : 2', 'Planta : 2ª', 'Antigüedad : Entre 10 y 20 años', 'Conservación : A estrenar', 'Referencia : NI390-8816', 'Amueblado', 'Armarios empotrados : 2', 'Tipo suelo : Tarima flotante', 'Carpintería exterior : Aluminio climalit', 'Agua : Gas natural', 'Aire acondicionado : Split salon', 'Calefacción : Gas natural', 'Cocina : Amueblada con electrodomésticos', 'Comedor', 'Ascensor', 'Clasificación:  En trámite', 'Pedir más información'],Inmuebles de PROYECTOS INTEGRALES FINCASA,1675120200.0,{'timestamp': '1698852794405764', 'soft_url': 'piso_santa_cruz_san_antonio_abad_industria_canicas02005_37509927793_106000_'}
220.000 €,Piso en venta en Centro-Villacerrada-Pajarita,Centro-Villacerrada-Pajarita (Albacete Capital),38.9918932,-1.8580928,['Superficie construida : 140 m²', 'Superficie útil : 126 m²', 'Habitaciones : 4', 'Baños : 2', 'Interior : No', 'Exterior', 'Conservación : En buen estado', 'Gastos de comunidad : Más de 100€', 'Referencia : SA4741-GYA AB-4100', 'Armarios empotrados : 1', 'Aire acondicionado', 'Calefacción : Central', 'Garaje : 1', 'Trastero', 'Ascensor', 'Balcón', 'Terraza', 'Orientación : Norte', 'Clasificación:  No indicado', 'Pedir más información'],Inmuebles de INMOBILIARIA GARRIDO Y ARCE,1675120200.0,{'timestamp': '1698852800988083', 'soft_url': 'piso_centro_villacerrada_pajarita02003_35048605736_100500_'}
280.000 €,Piso en venta en Ensanche-Franciscanos,Fátima-Franciscanos (Albacete Capital),38.9908488,-1.8610147,['Superficie construida : 118 m²', 'Superficie útil : 97 m²', 'Habitaciones : 3', 'Baños : 2', 'Planta : 1ª', 'Referencia : SA3801-F100/8412', 'Armarios empotrados : 1', 'Tipo suelo : Tarima maciza', 'Agua', 'Aire acondicionado', 'Calefacción : Gas natural', 'Garaje : 1', 'Trastero', 'Puerta blindada', 'Ascensor', 'Balcón', 'Terraza', 'Clasificación:  Disponible', 'Emisiones:   A B C D E F G', 'Pedir más información'],Inmuebles de INMOHOUSE INTERMEDIACION INMOBILIARIA,1675120200.0,{'timestamp': '1698852807043266', 'soft_url': 'piso_fatima_franciscanos02003_38382787480_100500_'}
238.000 €,Piso en venta en Santo Angel,Fátima-Franciscanos (Albacete Capital),38.9931583,-1.8641997,['Superficie construida : 120 m²', 'Superficie útil : 100 m²', 'Habitaciones : 4', 'Baños : 2', 'Planta : 1ª', 'Antigüedad : Entre 30 y 50 años', 'Conservación : En buen estado', 'Referencia : NI601-12651', 'Armarios empotrados : 2', 'Tipo suelo : Tarima flotante', 'Carpintería exterior : Aluminio climalit', 'Aire acondicionado : Split salon', 'Calefacción : Carbón', 'Cocina : Independiente', 'Comedor', 'Garaje : 1', 'Ascensor', 'Balcón', 'Clasificación:  En trámite', 'Pedir más información'],Inmuebles de GRAIN GRUPO INMOBILIARIO GARCIA VELASCO,1674428880.0,{'timestamp': '1698852813078289', 'soft_url': 'piso_fatima_franciscanos02004_36692625990_106000_'}
155.000 €,Piso en venta en Calle de La Feria, cerca de Plaza del Periodista Antonio Andújar,Calle de La Feria, cerca de Plaza del Periodista Antonio Andújar. Centro-Villacerrada-Pajarita (Albacete Capital),38.9957628,-1.8594576,['Superficie construida : 126 m²', 'Superficie útil : 120 m²', 'Habitaciones : 4', 'Baños : 2', 'Planta : 3ª', 'Exterior', 'Antigüedad : Entre 30 y 50 años', 'Conservación : A reformar', 'Gastos de comunidad : Entre 60 y 80€', 'Referencia : 4995017-9931', 'Armarios empotrados : 1', 'Tipo suelo : Gres', 'Carpintería exterior : Aluminio', 'Calefacción : Gas natural', 'Puerta blindada', 'Ascensor', 'Balcón', 'Orientación : Este', 'Clasificación:  En trámite', 'Pedir más información'],Inmuebles de INMOBILIARIA GOMEZ TORRES,1672873740.0,{'timestamp': '1698852819240107', 'soft_url': 'piso_centro_villacerrada_pajarita_37501856816_995017_'}
