price,title,province,location,lat,lng,characteristics,agency,updated,numeric_data
580.000 €,Casa en venta en Costa Adeje,Costa Adeje (Adeje),28.076612898,-16.726122297,['Superficie construida : 187 m²', 'Superficie útil : 130 m²', 'Habitaciones : 5', 'Baños : 4', 'Gastos de comunidad : Más de 100€', 'Referencia : XA632-7750', 'Amueblado', 'Agua', 'Cocina', 'Garaje : 1', 'Trastero', 'Terraza', 'Clasificación:  En trámite', 'Pedir más información'],Inmuebles de ASTEN REALTY,1674083400.0,{'timestamp': '1699365135112771', 'soft_url': 'casa_adeje_costa_adeje38660_28376128685_108900_'}
9.000.000 €,Casa en venta en Calle Guía de Isora,Calle Guía de Isora. Costa Adeje (Adeje),28.0926756,-16.7265762,['Superficie construida : 800 m²', 'Superficie útil : 800 m²', 'Habitaciones : 5', 'Baños : 1', 'Antigüedad : Menos de 5 años', 'Conservación : A estrenar', 'Referencia : 4525598-1218', 'Armarios empotrados : Más de 2', 'Cocina', 'Comedor', 'Lavadero', 'Garaje : 2', 'Terraza', 'Piscina : Propia', 'Clasificación:  Pendiente de completar', 'Consumo:   A B C D E F G', 'Emisiones:   A B C D E F G', 'Pedir más información'],Inmuebles de HOUSE TENERIFE,1672701000.0,{'timestamp': '1699365139788592', 'soft_url': 'casa_adeje_costa_adeje_29199273550_525598_'}
1.300.000 €,Chalet unifamiliar en venta en Avenida de Europa,Avenida de Europa. Costa Adeje (Adeje),28.076697697,-16.726220959,['Superficie construida : 260 m²', 'Superficie útil : 230 m²', 'Superficie solar : 500 m²', 'Habitaciones : 4', 'Baños : 4', 'Conservación : A estrenar', 'Referencia : 4999044-38660', 'Amueblado', 'Armarios empotrados : Más de 2', 'Aire acondicionado : Frío y calor', 'Garaje : Más de 2', 'Adaptado a personas con movilidad reducida', 'Terraza', 'Jardín : Propio', 'Piscina : Propia', 'Orientación : Sur', 'Urbanizado', 'Calle alumbrada', 'Calle asfaltada', 'Clasificación:  En trámite', 'Pedir más información'],Inmuebles de BELLAECO SOLUCIONES INMOBILIARIAS,1642201920.0,{'timestamp': '1699365143859463', 'soft_url': 'chalet_unifamiliar_adeje_costa_adeje_22551354394_999044_'}
3.250.000 €,Chalet en venta en Calle Alemania,Calle Alemania. Costa Adeje (Adeje),28.0837998,-16.7238321,['Superficie construida : 482 m²', 'Superficie útil : 375 m²', 'Superficie solar : 685 m²', 'Habitaciones : 5', 'Baños : 5', 'Conservación : En buen estado', 'Referencia : SA1658-AP3250V', 'Terraza', 'Jardín : Propio', 'Piscina : Propia', 'Clasificación:  En trámite', 'Pedir más información'],Inmuebles de AGATA´S REAL ESTATE,1642115520.0,{'timestamp': '169936514851496', 'soft_url': 'chalet_adeje_costa_adeje38660_30043220249_100500_'}
690.000 €,Piso en venta en Avenida Rafael Puig Llivina, 34,Avenida Rafael Puig Llivina, 34. Costa Adeje (Adeje),28.1218298413204,-16.7246453135276,['Superficie construida : 68 m²', 'Superficie útil : 54 m²', 'Habitaciones : 2', 'Baños : 2', 'Planta : 2ª', 'Conservación : Reformado', 'Referencia : 4513454-CA187', 'Amueblado', 'Armarios empotrados : 1', 'Cocina equipada', 'Ascensor', 'Terraza', 'Jardín : Comunitario', 'Piscina : Comunitaria', 'Soleado', 'Clasificación:  En trámite', 'Pedir más información'],Inmuebles de Tener Casa Real Estate,1674169800.0,{'timestamp': '1699365152604658', 'soft_url': 'piso_adeje_costa_adeje_35076015328_513454_'}
5.500.000 €,Chalet en venta en Avenida de La Macaronesia,Avenida de La Macaronesia. Costa Adeje (Adeje),28.081980824,-16.732916399,['Superficie construida : 375 m²', 'Superficie solar : 2.500 m²', 'Habitaciones : 5', 'Baños : 6', 'Conservación : En buen estado', 'Referencia : SA1341-4080I', 'Armarios empotrados : 1', 'Aire acondicionado : Frío', 'Cocina : Cocina amueblada', 'Garaje : 1', 'Adaptado a personas con movilidad reducida', 'Jardín : Propio', 'Piscina : Propia', 'Clasificación:  En trámite', 'Pedir más información'],Inmuebles de Smilo Properties,1672701060.0,{'timestamp': '1699365156977535', 'soft_url': 'chalet_adeje_costa_adeje38679_25008408258_100500_'}
240.000 €,Ático en venta en Callao Salvaje,Callao Salvaje-Playa Paraíso-Armeñime (Adeje),28.1284512,-16.7749064,['Superficie construida : 73 m²', 'Habitaciones : 2', 'Baños : 2', 'Exterior', 'Referencia : XA667-1303', 'Amueblado', 'Agua', 'Cocina', 'Garaje : 2', 'Ascensor', 'Terraza', 'Piscina : Comunitaria', 'Orientación', 'Clasificación:  En trámite', 'Pedir más información'],Inmuebles de Seasidecanarias Real Estate,1672873560.0,{'timestamp': '1699365161153229', 'soft_url': 'atico_callao_salvaje_playa_paraiso_armenime38678_35058353265_108900_'}
468.000 €,Chalet en venta en Costa Adeje,Costa Adeje (Adeje),28.077218664,-16.727018743,['Superficie construida : 187 m²', 'Superficie útil : 112 m²', 'Habitaciones : 3', 'Baños : 3', 'Conservación : En buen estado', 'Gastos de comunidad : Más de 100€', 'Referencia : SA2984-273', 'Amueblado', 'Garaje : 1', 'Trastero', 'Terraza', 'Orientación : Sur', 'Clasificación:  En trámite', 'Pedir más información'],Inmuebles de PAULA DEVORA GESTIÓN INMOBILIARIA Y MARKETING,1675119900.0,{'timestamp': '1699365165198935', 'soft_url': 'chalet_adeje_costa_adeje38660_32520282347_100500_'}
780.000 €,Casa en venta en Urbanización San Eugenio,Urbanización San Eugenio. Costa Adeje (Adeje),28.073622619,-16.731180054,['Superficie construida : 150 m²', 'Superficie útil : 150 m²', 'Habitaciones : 3', 'Baños : 3', 'Antigüedad : Menos de 5 años', 'Conservación : A estrenar', 'Referencia : 4525598-1311', 'Amueblado', 'Armarios empotrados : Más de 2', 'Aire acondicionado : Frío y calor', 'Cocina', 'Comedor', 'Lavadero', 'Garaje : 1', 'Terraza', 'Jardín : Propio', 'Piscina : Propia', 'Clasificación:  Pendiente de completar', 'Consumo:   A B C D E F G', 'Emisiones:   A B C D E F G', 'Pedir más información'],Inmuebles de HOUSE TENERIFE,1672701000.0,{'timestamp': '1699365170056969', 'soft_url': 'casa_adeje_costa_adeje_32519556164_525598_'}
460.000 €,Casa adosada en venta en El Madroñal,Costa Adeje (Adeje),28.089630875,-16.723280323,['Superficie construida : 124 m²', 'Habitaciones : 3', 'Baños : 3', 'Tipo de casa : Adosada', 'Conservación : En buen estado', 'Gastos de comunidad : Entre 40 y 60€', 'Referencia : XA632-8452', 'Amueblado', 'Agua', 'Cocina', 'Garaje : 1', 'Terraza', 'Clasificación:  Pendiente de completar', 'Consumo:   A B C D E F G', 'Pedir más información'],Inmuebles de ASTEN REALTY,1672960260.0,{'timestamp': '1699365174853062', 'soft_url': 'casa_adosada_adeje_costa_adeje38660_36761114874_108900_'}
